"Date";"Order ID";"Transaction ID";"Payout report ID";"Payout number";"Position";"Currency";"Payout amount";"Open receivable";"Commission type";"Commission paid to";"Payout on";"Purchase vendor";"Purchase affiliate";"Product ID";"Product name";"Reason";"Voucher";"Sales team";"Commission allocated to";"Purchase created by";"Reseller";
"05/03/2026";"LSA3MTUW";"116221745";"";"";"";"USD";"1.86";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"YT6XQR5M";"116221541";"";"";"";"USD";"1.80";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"FZETJ545";"116221494";"";"";"";"USD";"2.48";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"thiagosale";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"9FJEQCNK";"116221422";"";"";"";"USD";"1.82";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"TS7XF9WT";"116221368";"";"";"";"USD";"2.92";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"D5EY5F2N";"116221252";"";"";"";"USD";"2.48";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"thiagosale";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"94XKTUU6";"116220701";"";"";"";"USD";"1.84";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"EYHVLSAA2";"116220477";"";"";"";"USD";"15.83";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"688488";"UP2 - NightCalm (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"EYHVLSAA1";"116220451";"";"";"";"USD";"13.08";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"SD236APL";"116220444";"";"";"";"USD";"3.75";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"UNYXGROUP";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"EYHVLSAA";"116220173";"";"";"";"USD";"2.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"F69NNR7Q1";"116220070";"";"";"";"USD";"13.05";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"537YYFTL";"116220024";"";"";"";"USD";"2.48";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"thiagosale";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"QHYXNWS21";"116219804";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"thiagosale";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"F6HVA4UT";"116219424";"";"";"";"USD";"2.74";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"marckkks";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"H7FRAXT93";"116218656";"";"";"";"USD";"15.28";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"688490";"UP3 - Flex-ImmuneGuard (3 + 3 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"H7FRAXT92";"116218639";"";"";"";"USD";"15.92";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"688488";"UP2 - NightCalm (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"H7FRAXT91";"116218630";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"CWEXEEZS1";"116218473";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"DQSRUXE7";"116218347";"";"";"";"USD";"2.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"R3N76SMR3";"116218181";"";"";"";"USD";"15.19";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"688490";"UP3 - Flex-ImmuneGuard (3 + 3 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"CWEXEEZS";"116218156";"";"";"";"USD";"1.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"R3N76SMR2";"116218149";"";"";"";"USD";"15.83";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"688488";"UP2 - NightCalm (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"R3N76SMR1";"116218139";"";"";"";"USD";"13.08";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"R3N76SMR";"116217969";"";"";"";"USD";"2.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"ANC53SNZ1";"116217882";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"ANC53SNZ";"116217539";"";"";"";"USD";"1.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"A2YXXMSH";"116217255";"";"";"";"USD";"2.80";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
