DigiStore24 Account_id,Nicho, Product Name/SKU,Quantidade,Valor,Product Type,Sales page,Checkout,Thanks Page,Drive,Status
D21052003 - NeuroMind Pro,Memória,DW1 - NeuroMind Pro (3 Bottles),3,"$49,50",Downsell,https://getneuromindpro.online/dw01-ds24/,https://www.checkout-ds24.com/product/686849,https://getneuromindpro.online/dw01-ds24,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Ativo
D21052003 - NeuroMind Pro,Memória,DS1 - NeuroMind Pro (3 Bottles),3,"$120,00",Downsell,https://getneuromindpro.online/dw01-ds24/,https://www.checkout-ds24.com/product/686073,https://getneuromindpro.online/dw01-ds24,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Ativo
D21052003 - NeuroMind Pro,Memória,UP1 - NeuroMind Pro (6 Bottles),6,"$144,00",Upsell 1,https://getneuromindpro.online/up01-ds24/,https://www.checkout-ds24.com/product/686072,https://getneuromindpro.online/dw01-ds24,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Ativo
D21052003 - NeuroMind Pro,Memória,M3 - NeuroMind Pro (6 Bottles),6,"$294,00",Front-End,https://getneuromindpro.online/front-ds24/,https://www.checkout-ds24.com/product/686069,https://getneuromindpro.online/dw01-ds24,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Ativo
D21052003 - NeuroMind Pro,Memória,M2 - NeuroMind Pro (3 Bottles),3,"$207,00",Front-End,https://getneuromindpro.online/front-ds24/,https://www.checkout-ds24.com/product/686068,https://getneuromindpro.online/dw01-ds24,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Ativo
D21052003 - NeuroMind Pro,Memória,M1 - NeuroMind Pro (2 Bottles),2,"$158,00",Front-End,https://getneuromindpro.online/front-ds24/,https://www.checkout-ds24.com/product/686066,https://getneuromindpro.online/dw01-ds24,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Ativo
,,,,,,,,,,
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,ShipOffers
VisionGuard,Visão,,,,,,,,,
VisionGuard,Visão,,,,,,,,,
VisionGuard,Visão,,,,,,,,,
VisionGuard,Visão,,,,,,,,,
,,,,,,,,,,
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,ShipOffers
,,,,,,,,,,
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,ShipOffers
,,,,,,,,,,
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,ShipOffers
DigestFlow,Intestino,,,,,,,,https://drive.google.com/drive/folders/1boIT3LqS12nic0OzBp8DRM9npjshvdoR,ShipOffers
,,,,,,,,,,
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,ShipOffers
ProstaFlow,Próstata,,,,,,,,https://drive.google.com/drive/folders/11is49EW-6Dya4HJfL-Dr2i0Rht4i_wiF,ShipOffers
,,,,,,,,,,
NerveFlow,Neuropatia,,,,,,,,https://drive.google.com/drive/folders/1HnSo6d5JZbA5rl6oYCAjrelZ72qNbPC4,ShipOffers
NerveFlow,Neuropatia,,,,,,,,https://drive.google.com/drive/folders/1HnSo6d5JZbA5rl6oYCAjrelZ72qNbPC4,ShipOffers
NerveFlow,Neuropatia,,,,,,,,https://drive.google.com/drive/folders/1HnSo6d5JZbA5rl6oYCAjrelZ72qNbPC4,ShipOffers
NerveFlow,Neuropatia,,,,,,,,https://drive.google.com/drive/folders/1HnSo6d5JZbA5rl6oYCAjrelZ72qNbPC4,ShipOffers
NerveFlow,Neuropatia,,,,,,,,https://drive.google.com/drive/folders/1HnSo6d5JZbA5rl6oYCAjrelZ72qNbPC4,ShipOffers
NerveFlow,Neuropatia,,,,,,,,https://drive.google.com/drive/folders/1HnSo6d5JZbA5rl6oYCAjrelZ72qNbPC4,ShipOffers
,,,,,,,,,,
FlexGuard,Articulações,,,,,,,,https://drive.google.com/drive/folders/1J-ykm6MbwaS8TOLLp7eWZcoSLjGxBX6-,ShipOffers
FlexGuard,Articulações,,,,,,,,https://drive.google.com/drive/folders/1J-ykm6MbwaS8TOLLp7eWZcoSLjGxBX6-,ShipOffers
FlexGuard,Articulações,,,,,,,,https://drive.google.com/drive/folders/1J-ykm6MbwaS8TOLLp7eWZcoSLjGxBX6-,ShipOffers
FlexGuard,Articulações,,,,,,,,https://drive.google.com/drive/folders/1J-ykm6MbwaS8TOLLp7eWZcoSLjGxBX6-,ShipOffers
FlexGuard,Articulações,,,,,,,,https://drive.google.com/drive/folders/1J-ykm6MbwaS8TOLLp7eWZcoSLjGxBX6-,ShipOffers
FlexGuard,Articulações,,,,,,,,https://drive.google.com/drive/folders/1J-ykm6MbwaS8TOLLp7eWZcoSLjGxBX6-,ShipOffers
,,,,,,,,,,
DefenseGuard,Imunidade,,,,,,,,https://drive.google.com/drive/folders/13C4FsgoN_BKx-nThl410aNdDqM6m3UyO,ShipOffers
DefenseGuard,Imunidade,,,,,,,,https://drive.google.com/drive/folders/13C4FsgoN_BKx-nThl410aNdDqM6m3UyO,ShipOffers
DefenseGuard,Imunidade,,,,,,,,https://drive.google.com/drive/folders/13C4FsgoN_BKx-nThl410aNdDqM6m3UyO,ShipOffers
DefenseGuard,Imunidade,,,,,,,,https://drive.google.com/drive/folders/13C4FsgoN_BKx-nThl410aNdDqM6m3UyO,ShipOffers
DefenseGuard,Imunidade,,,,,,,,https://drive.google.com/drive/folders/13C4FsgoN_BKx-nThl410aNdDqM6m3UyO,ShipOffers
DefenseGuard,Imunidade,,,,,,,,https://drive.google.com/drive/folders/13C4FsgoN_BKx-nThl410aNdDqM6m3UyO,ShipOffers
