ClickBank Account_id,Nicho, Product Name/SKU,Quantidade,Valor,Product Type,Sales page,Checkout,Thanks Page,Drive,Shipping Profiles,Status
maxvitaliz,ED,MaxVitalize-6e2-RC,8,"$294,00",SMS Recovery,https://getmaxvitalize.com/sms-cb,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-6e2-RC,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-9-UP1,9,"$351,00",Upsell 1,https://getmaxvitalize.com/up01-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-9-UP1,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,Emagrecimento,ThermoBurnPro-2-up2,2,"$118,00",Upsell 2,https://getmaxvitalize.com/up02-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=ThermoBurnPro-2-up2,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
maxvitaliz,Emagrecimento,ThermoBurnPro-3-up2,3,"$129,00",Upsell 2,https://getmaxvitalize.com/up02-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=ThermoBurnPro-3-up2,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
maxvitaliz,Emagrecimento,ThermoBurnPro-6-up2,6,"$199,00",Upsell 2,https://getmaxvitalize.com/up02-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=ThermoBurnPro-6-up2,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
,,,,,,,,,,,
neurompro,Diabetes,GlycoPulse-1-UP2,1,"$29,00",Upsell 2,https://getneuromindpro.online/up02-cb/,https://neurompro.pay.clickbank.net/?cbitems=GlycoPulse-1-UP2,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Configurado,Ativo
neurompro,Diabetes,GlycoPulse-2-UP2,2,"$58,00",Upsell 2,https://getneuromindpro.online/up02-cb/,https://neurompro.pay.clickbank.net/?cbitems=GlycoPulse-2-UP2,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Configurado,Ativo
neurompro,Diabetes,GlycoPulse-3-UP2,3,"$87,00",Upsell 2,https://getneuromindpro.online/up02-cb/,https://neurompro.pay.clickbank.net/?cbitems=GlycoPulse-3-UP2,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Configurado,Ativo
neurompro,Memória,NeuroMindPro-2-FE,2,"$158,00",Front-End,https://getneuromindpro.online/front-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-2-FE,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-2e1-RC,3,"$158,00",SMS Recovery,https://getneuromindpro.online/sms-cb,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-2e1-RC,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-3-DW1,3,"$120,00",Downsell,https://getneuromindpro.online/front-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-3-DW1,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-3-DW1-V1,3,"$49,50",Downsell,https://getneuromindpro.online/dw01-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-3-DW1-V1,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-3-FE,3,"$207,00",Front-End,https://getneuromindpro.online/front-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-3-FE,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-3e1-RC,4,"$207,00",SMS Recovery,https://getneuromindpro.online/sms-cb,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-3e1-RC,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-5-DW1-V1,5,"$69,00",Downsell,https://getneuromindpro.online/dw01-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-5-DW1-V1,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-6-FE,6,"$294,00",Front-End,https://getneuromindpro.online/front-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-6-FE,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-6-FE-vs2,6,"$144,00",Front-End,https://getneuromindpro.online/front-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-6-FE-vs2,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-6-UP1,6,"$234,00",Upsell 1,https://getneuromindpro.online/up01-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-6-UP1,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-6-UP1-vsnova,6,"$174,00",Upsell 1,https://getneuromindpro.online/up01-cb/,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-6-UP1-vsnova,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Memória,NeuroMindPro-6e2-RC,8,"$294,00",SMS Recovery,https://getneuromindpro.online/sms-cb,https://neurompro.pay.clickbank.net/?cbitems=NeuroMindPro-6e2-RC,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Configurado,Ativo
neurompro,Emagrecimento,ThermoBurnPro-2-UP2,2,"$118,00",Upsell 2,https://getneuromindpro.online/up02-cb/,https://neurompro.pay.clickbank.net/?cbitems=ThermoBurnPro-2-UP2,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
neurompro,Emagrecimento,ThermoBurnPro-3-UP2,3,"$129,00",Upsell 2,https://getneuromindpro.online/up02-cb/,https://neurompro.pay.clickbank.net/?cbitems=ThermoBurnPro-3-UP2,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
neurompro,Emagrecimento,ThermoBurnPro-6-UP2,6,"$199,00",Upsell 2,https://getneuromindpro.online/up02-cb/,https://neurompro.pay.clickbank.net/?cbitems=ThermoBurnPro-6-UP2,https://getneuromindpro.online/thanks/,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
,,,,,,,,,,,
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,,ShipOffers
VisionGuard,Visão,,,,,,,,https://drive.google.com/drive/folders/1NwE5sY-KtLBq3RuklcmWNXF7IinDYzO2,,ShipOffers
,,,,,,,,,,,
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,,ShipOffers
NightCalm,Insônia,,,,,,,,https://drive.google.com/drive/folders/1IphvPG2kxDq5jiZnF-Tkw5bEg1w_mJXP,,ShipOffers
,,,,,,,,,,,
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,,ShipOffers
QuietTone,Zumbido,,,,,,,,https://drive.google.com/drive/folders/1S-clUoxUF2lO0ywmH0VtzVhm2O0IXdCP,,ShipOffers
